Wall time,Step,Value
1598230790.3839457,10,0.0535525344312191
1598230955.2549076,20,0.024079084396362305
1598231142.798226,30,0.050587378442287445
1598231341.2881286,40,0.02788904868066311
1598231551.1688502,50,0.11115532368421555
1598231749.09096,60,0.10712829977273941
1598231958.113955,70,0.02293371967971325
1598232149.9707038,80,0.12950213253498077
1598232380.300956,90,0.11382600665092468
1598232575.6178532,100,0.02570481412112713
1598232763.0771458,110,0.06714549660682678
1598232989.3678756,120,0.13949018716812134
1598233165.6534164,130,0.12005497515201569
1598233364.3056734,140,0.038156285881996155
1598233540.598703,150,0.15235143899917603
1598233749.2656357,160,0.030032677575945854
1598233975.673862,170,0.0837380588054657
1598234169.7692575,180,0.05375863239169121
1598234367.567244,190,0.09462282061576843
1598234533.450367,200,0.03610420972108841
1598234706.2830925,210,0.15353508293628693
1598234874.8988128,220,0.026926342397928238
1598235080.3695135,230,0.030612947419285774
1598235292.440099,240,0.09010103344917297
1598235528.8569343,250,0.20514686405658722
1598235698.2611058,260,0.04795847088098526
1598235894.9940457,270,0.07740765810012817
1598236070.2741067,280,0.07072661817073822
1598236244.627697,290,0.04101886972784996
1598236440.151062,300,0.08454808592796326
1598236646.38255,310,0.15201252698898315
1598236840.8095932,320,0.19802163541316986
1598237062.4636629,330,0.028438836336135864
1598237240.3089151,340,0.13750630617141724
1598237367.8628302,350,0.04489263892173767
1598237523.5730855,360,0.05660155788064003
1598237697.7545319,370,0.02368144318461418
1598237877.1210914,380,0.10472976416349411
1598238091.8274286,390,0.19330435991287231
1598238303.5962706,400,0.13424427807331085
1598238500.0888274,410,0.05730092152953148
1598238705.6250038,420,0.20470814406871796
1598238899.899935,430,0.05451737344264984
1598239075.2695525,440,0.09139418601989746
1598239277.3744185,450,0.1357623040676117
1598239464.3893821,460,0.10693209618330002
1598239659.4313123,470,0.08145640045404434
1598239841.8158748,480,0.07521270215511322
1598239995.3226078,490,0.08053591102361679
1598240154.021111,500,0.025811228901147842
1598240330.0621612,510,0.12492972612380981
1598240548.4502375,520,0.08967384696006775
1598240731.5181787,530,0.07247143238782883
1598240932.2464023,540,0.17087118327617645
1598241103.519743,550,0.0441787950694561
1598241273.5974033,560,0.06716716289520264
1598241441.8001757,570,0.08021529018878937
1598241621.116459,580,0.10821914672851562
1598241840.6124237,590,0.1261589080095291
1598242017.0246422,600,0.08342482894659042
1598242215.3610103,610,0.09728256613016129
1598242412.4295833,620,0.04900898039340973
1598242589.0564086,630,0.028353367000818253
1598242780.5966158,640,0.091249480843544
1598242980.5254593,650,0.07289978116750717
1598243198.0762267,660,0.09288249164819717
1598243354.2030222,670,0.056614119559526443
1598243529.1795502,680,0.06803669035434723
1598243709.121449,690,0.11566218733787537
1598243898.8056324,700,0.06495612114667892
1598244086.7511191,710,0.14928631484508514
1598244247.552796,720,0.0484258271753788
1598244425.477521,730,0.1253155916929245
1598244658.5693467,740,0.06051192805171013
1598244823.9883642,750,0.06500464677810669
1598245023.7201371,760,0.039268240332603455
1598245234.63683,770,0.11900661140680313
1598245400.0026033,780,0.13088586926460266
1598245587.8481493,790,0.0933438315987587
1598245769.1765401,800,0.03116234578192234
1598245962.359523,810,0.08237911015748978
1598246134.936232,820,0.10797572135925293
1598246325.6398861,830,0.04716712608933449
1598246509.6681905,840,0.026806656271219254
1598246681.824163,850,0.102959044277668
1598246878.3410358,860,0.06903018057346344
1598247060.790687,870,0.10253200680017471
1598247247.453909,880,0.07187449932098389
1598247450.8560786,890,0.12050903588533401
1598247636.571877,900,0.1118764877319336
1598247850.056788,910,0.08253513276576996
1598248013.7125099,920,0.03614572808146477
1598248162.683588,930,0.041428204625844955
1598248328.5497298,940,0.03842282295227051
1598248521.5218337,950,0.14874501526355743
1598248707.8733718,960,0.03162325918674469
1598248889.078392,970,0.07033591717481613
1598249073.5987282,980,0.07361560314893723
1598249305.6952167,990,0.09208454191684723
1598249492.5582495,1000,0.09554659575223923
1598249720.5206394,1010,0.07088468223810196
1598249930.635805,1020,0.07029950618743896
1598250131.316088,1030,0.06683194637298584
1598250316.090782,1040,0.10114876925945282
1598250512.2765357,1050,0.08104301989078522
1598250680.9376886,1060,0.05330700799822807
1598250836.3316426,1070,0.030426178127527237
1598251044.838555,1080,0.13140204548835754
1598251217.3029246,1090,0.09477972239255905
1598251434.925652,1100,0.11939820647239685
1598251607.9514828,1110,0.10197600722312927
1598251804.8582935,1120,0.02812415547668934
1598251997.9994576,1130,0.10138145834207535
1598252204.2825553,1140,0.05256880447268486
1598252391.8155837,1150,0.1129562109708786
1598252577.7092395,1160,0.04192802682518959
1598252744.4431558,1170,0.05030738189816475
1598252983.5443294,1180,0.044321540743112564
1598253185.90245,1190,0.08933676034212112
1598253342.9095595,1200,0.16346843540668488
1598253492.29901,1210,0.20072638988494873
1598253701.8184738,1220,0.13213704526424408
1598253914.9791048,1230,0.18590161204338074
1598254090.5465796,1240,0.08257032185792923
1598254314.4481213,1250,0.06795738637447357
1598254502.1872551,1260,0.07875950634479523
1598254661.2530482,1270,0.033193763345479965
1598254830.4319606,1280,0.05737797170877457
1598254984.4250762,1290,0.07766621559858322
1598255189.8144698,1300,0.07812079042196274
1598255396.9976587,1310,0.11639807373285294
1598255596.8138053,1320,0.13032808899879456
1598255759.1641204,1330,0.027949539944529533
1598255985.3434463,1340,0.09997040033340454
1598256209.1961162,1350,0.07668924331665039
1598256380.862138,1360,0.0506475567817688
1598256589.8028631,1370,0.15219932794570923
1598256731.4674168,1380,0.13452184200286865
1598256906.5242386,1390,0.1410130113363266
1598257078.7826822,1400,0.10826919972896576
1598257294.0196602,1410,0.1347246766090393
1598257491.626105,1420,0.09607241302728653
1598257694.3081262,1430,0.2095000147819519
1598257878.8712664,1440,0.0626937747001648
1598258101.9754884,1450,0.08214083313941956
1598258285.0053353,1460,0.06069615110754967
1598258448.4097908,1470,0.11227981746196747
1598258640.4081862,1480,0.16445866227149963
1598258838.7996213,1490,0.11659654229879379
1598259015.383411,1500,0.0858808308839798
1598259167.4734,1510,0.06698130071163177
